X-Data [Hz]	Laser (M - Filtered) [m/s]	Phase [Deg]	Laser (M - Filtered) [m/s]	Phase [Deg]	
	002: [07-03-24 09:31]		003: [07-03-24 09:33]	
          29	   0,0182171	80,4	   0,0255113	79,3
     29,0039	   0,0190527	79,5	   0,0256037	81,7
     29,0078	   0,0205192	80,5	   0,0259467	79,5
     29,0117	   0,0212734	78,4	   0,0255989	79,6
     29,0156	   0,0219824	81,2	   0,0250768	81,8
     29,0196	   0,0222642	81,6	   0,0257273	80,4
     29,0235	   0,0230048	81,7	   0,0260327	79,7
     29,0274	   0,0231152	81,2	   0,0257352	80,6
     29,0313	   0,0237297	79,6	   0,0261681	79,1
     29,0352	   0,0236789	82,7	   0,0260957	80,8
     29,0391	   0,0239456	81,2	    0,026218	80,0
      29,043	   0,0243784	79,7	   0,0262803	78,9
     29,0469	   0,0246756	82,1	   0,0259764	81,7
     29,0508	   0,0244435	81,2	   0,0263452	79,3
     29,0547	   0,0243268	81,0	   0,0265249	79,7
     29,0587	    0,024991	80,9	   0,0260835	80,6
     29,0626	   0,0250886	81,4	   0,0259658	79,4
     29,0665	   0,0248538	80,9	   0,0258483	79,9
     29,0704	   0,0251534	79,8	   0,0250659	83,4
     29,0743	   0,0257746	80,3	   0,0248961	81,7
     29,0782	   0,0259709	79,0	   0,0254468	81,8
     29,0821	   0,0254098	81,0	   0,0252668	83,1
      29,086	   0,0252801	81,5	   0,0258773	79,7
     29,0899	   0,0253331	80,9	   0,0256383	82,1
     29,0938	   0,0255524	82,1	   0,0254994	82,0
     29,0978	   0,0259025	80,6	    0,025924	78,8
     29,1017	   0,0262632	79,9	   0,0257876	82,4
     29,1056	    0,026047	82,2	   0,0262103	81,7
     29,1095	   0,0259786	80,2	   0,0266833	79,7
     29,1134	   0,0263451	79,8	   0,0258276	82,6
     29,1173	   0,0262407	81,2	   0,0258331	81,3
     29,1212	   0,0262428	80,1	   0,0262662	79,6
     29,1251	   0,0253503	80,8	   0,0256305	83,2
      29,129	   0,0258641	82,2	   0,0263973	82,3
     29,1329	   0,0258577	81,3	   0,0269003	80,3
     29,1369	   0,0257908	80,8	   0,0264414	82,2
     29,1408	   0,0264343	81,1	    0,026808	81,7
     29,1447	   0,0266106	79,6	   0,0266775	80,3
     29,1486	   0,0259104	81,3	   0,0264037	82,1
     29,1525	   0,0261656	81,0	    0,026793	82,1
     29,1564	   0,0262677	80,7	   0,0271753	81,0
     29,1603	   0,0258241	82,2	   0,0264835	80,8
     29,1642	   0,0264879	80,0	    0,026714	81,1
     29,1681	   0,0268152	79,4	   0,0267883	80,9
      29,172	   0,0262136	82,5	   0,0261199	83,4
      29,176	   0,0264973	81,6	   0,0267349	82,2
     29,1799	   0,0266687	79,3	   0,0265694	79,9
     29,1838	   0,0262131	82,2	   0,0263702	82,2
     29,1877	   0,0265001	80,9	   0,0268902	79,7
     29,1916	   0,0271885	80,0	   0,0264649	81,6
     29,1955	   0,0269774	81,7	   0,0262932	83,0
     29,1994	   0,0269035	80,7	   0,0267076	81,0
     29,2033	    0,027229	79,9	    0,027138	81,1
     29,2072	   0,0259818	82,6	   0,0268908	80,6
     29,2111	   0,0265075	81,5	   0,0266166	81,5
     29,2151	   0,0269629	79,6	   0,0268762	81,6
      29,219	   0,0268619	81,5	    0,027007	80,6
     29,2229	   0,0263631	81,7	   0,0265818	82,1
     29,2268	   0,0269541	80,5	   0,0270592	81,0
     29,2307	    0,026971	80,7	   0,0269512	81,5
     29,2346	   0,0267982	81,4	   0,0268431	83,3
     29,2385	   0,0269145	80,7	   0,0275172	81,2
     29,2424	   0,0266395	82,2	   0,0274127	80,3
     29,2463	   0,0267345	81,4	   0,0273114	81,1
     29,2502	   0,0274468	79,5	   0,0275209	81,8
     29,2542	   0,0275212	78,9	   0,0272563	82,1
     29,2581	   0,0269422	82,3	   0,0268142	82,3
      29,262	   0,0271285	81,6	   0,0278696	81,0
     29,2659	   0,0273772	80,8	   0,0277604	80,6
     29,2698	   0,0270562	81,6	   0,0269088	82,6
     29,2737	   0,0276205	81,1	   0,0274164	82,4
     29,2776	   0,0279792	80,2	   0,0275067	82,1
     29,2815	   0,0273651	81,8	   0,0270644	81,7
     29,2854	   0,0270237	82,8	   0,0278292	81,6
     29,2893	   0,0272681	80,9	   0,0281451	81,4
     29,2933	   0,0270307	80,9	   0,0269063	83,1
     29,2972	   0,0273039	82,5	   0,0269249	82,8
     29,3011	   0,0274151	81,1	   0,0281908	81,7
      29,305	   0,0275964	80,5	   0,0280999	81,2
     29,3089	   0,0274773	82,2	   0,0280713	82,5
     29,3128	   0,0277666	80,9	   0,0282374	82,0
     29,3167	   0,0276849	80,8	   0,0281969	80,3
     29,3206	   0,0275956	82,3	   0,0277523	81,7
     29,3245	   0,0276069	81,2	    0,027065	82,4
     29,3284	   0,0280324	80,0	   0,0285281	79,8
     29,3324	    0,027502	82,2	   0,0284472	82,1
     29,3363	   0,0273311	83,2	   0,0279181	83,8
     29,3402	   0,0275663	81,9	   0,0284879	81,3
     29,3441	   0,0278721	81,4	   0,0283034	81,2
      29,348	   0,0273002	82,1	   0,0278469	82,0
     29,3519	   0,0283259	81,6	   0,0283584	81,9
     29,3558	   0,0284296	80,6	   0,0288223	81,5
     29,3597	   0,0276358	81,0	   0,0287735	81,2
     29,3636	      0,0278	82,3	   0,0276332	82,6
     29,3675	   0,0284697	80,6	   0,0281556	82,8
     29,3715	   0,0287583	80,6	   0,0283577	82,0
     29,3754	   0,0280472	81,5	   0,0282818	81,3
     29,3793	   0,0281959	82,4	   0,0285881	80,1
     29,3832	   0,0288291	81,2	    0,028314	82,3
     29,3871	   0,0286665	83,0	   0,0279739	83,0
      29,391	   0,0282078	82,9	   0,0278922	83,0
     29,3949	   0,0286633	81,0	   0,0287644	80,6
     29,3988	   0,0287203	81,9	   0,0286086	81,9
     29,4027	   0,0288939	82,1	   0,0276016	83,0
     29,4066	   0,0290762	81,9	    0,028266	83,7
     29,4106	   0,0289017	80,8	   0,0291042	82,5
     29,4145	   0,0284219	81,4	    0,028797	82,0
     29,4184	   0,0285818	82,6	   0,0282171	82,1
     29,4223	   0,0290243	81,1	   0,0288221	82,8
     29,4262	   0,0283246	82,1	   0,0293854	82,5
     29,4301	   0,0282732	83,2	   0,0289067	82,4
      29,434	   0,0285999	83,0	   0,0282103	83,4
     29,4379	   0,0290671	80,9	   0,0291558	81,0
     29,4418	   0,0289839	82,9	   0,0288692	82,8
     29,4457	   0,0284311	83,1	   0,0289895	82,7
     29,4497	   0,0289527	81,5	   0,0288626	81,9
     29,4536	   0,0292262	81,0	   0,0296464	80,9
     29,4575	   0,0290689	82,5	   0,0293911	83,3
     29,4614	   0,0291049	83,0	   0,0287496	84,9
     29,4653	   0,0291884	82,1	   0,0295363	82,1
     29,4692	   0,0293793	81,3	   0,0294474	81,4
     29,4731	   0,0291655	83,5	   0,0288265	83,8
      29,477	   0,0290757	83,1	   0,0290701	84,2
     29,4809	   0,0294655	81,3	   0,0299694	82,0
     29,4848	   0,0291253	82,1	   0,0286867	82,7
     29,4888	   0,0291782	82,1	   0,0284743	83,2
     29,4927	   0,0296572	82,7	   0,0301655	81,4
     29,4966	   0,0297906	79,7	   0,0306286	82,1
     29,5005	   0,0302295	82,1	   0,0296404	82,4
     29,5044	   0,0296753	82,6	   0,0291677	82,8
     29,5083	   0,0304329	81,6	   0,0295931	84,4
     29,5122	   0,0303907	82,5	   0,0307563	82,5
     29,5161	   0,0292544	82,6	   0,0302691	81,7
       29,52	   0,0292533	83,4	   0,0293375	81,9
     29,5239	    0,030268	81,1	    0,029496	84,3
     29,5279	    0,030051	83,8	   0,0310488	83,1
     29,5318	   0,0298995	81,9	   0,0307515	81,9
     29,5357	    0,030303	82,4	   0,0300188	81,9
     29,5396	   0,0303363	83,4	   0,0306435	83,3
     29,5435	   0,0304001	82,6	   0,0309131	82,5
     29,5474	   0,0296969	82,1	   0,0302253	83,0
     29,5513	   0,0307067	82,6	   0,0303627	83,9
     29,5552	   0,0307355	82,9	    0,030977	82,0
     29,5591	   0,0304327	82,4	   0,0310725	82,9
      29,563	   0,0302306	82,8	   0,0306493	83,7
      29,567	   0,0307497	82,6	   0,0310435	83,6
     29,5709	   0,0311253	82,9	   0,0311109	81,9
     29,5748	   0,0310106	81,6	   0,0312777	82,6
     29,5787	   0,0307266	83,7	   0,0313162	83,4
     29,5826	   0,0307635	84,0	    0,030857	82,0
     29,5865	   0,0309144	81,6	   0,0299765	83,3
     29,5904	   0,0312832	82,6	   0,0307991	83,7
     29,5943	    0,031147	82,9	   0,0313674	82,5
     29,5982	   0,0308964	83,3	   0,0306084	83,6
     29,6021	   0,0314982	81,5	   0,0303201	84,0
     29,6061	    0,031033	81,8	   0,0300794	83,2
       29,61	   0,0311133	83,2	   0,0311458	82,4
     29,6139	   0,0307727	83,9	   0,0315787	84,1
     29,6178	   0,0316326	82,2	   0,0309688	84,0
     29,6217	   0,0315765	82,7	    0,030483	82,7
     29,6256	   0,0306751	82,9	    0,031971	82,7
     29,6295	   0,0307845	83,5	   0,0324447	83,2
     29,6334	   0,0320288	83,0	   0,0321384	82,6
     29,6373	   0,0319895	82,6	   0,0314046	83,5
     29,6413	   0,0316468	82,2	   0,0309709	84,0
     29,6452	   0,0315864	83,3	   0,0315679	83,5
     29,6491	    0,031656	84,0	     0,03231	83,7
      29,653	   0,0319025	82,5	   0,0319259	83,2
     29,6569	   0,0318615	83,4	    0,031286	83,4
     29,6608	   0,0315465	84,1	   0,0318796	83,6
     29,6647	   0,0316127	83,6	   0,0327442	83,3
     29,6686	    0,032149	83,4	   0,0323371	83,1
     29,6725	   0,0325441	83,3	   0,0317629	84,2
     29,6764	      0,0323	83,2	   0,0324133	83,4
     29,6804	   0,0317322	83,6	   0,0332703	82,6
     29,6843	   0,0319769	83,7	   0,0328109	84,4
     29,6882	   0,0324039	83,5	   0,0330285	83,4
     29,6921	   0,0326692	83,0	   0,0327835	84,5
      29,696	   0,0322662	83,4	   0,0322813	84,7
     29,6999	   0,0323519	84,2	   0,0330884	83,0
     29,7038	   0,0322907	83,7	   0,0331285	83,1
     29,7077	   0,0329229	82,9	   0,0328094	83,9
     29,7116	   0,0329853	84,1	   0,0327317	84,5
     29,7155	    0,032919	84,0	   0,0325568	83,4
     29,7195	    0,032625	83,9	   0,0334219	83,1
     29,7234	   0,0329385	83,3	   0,0337584	83,7
     29,7273	    0,033011	84,0	   0,0329856	84,6
     29,7312	   0,0333036	83,0	     0,03243	83,8
     29,7351	   0,0330909	83,7	   0,0332389	83,0
      29,739	   0,0329151	84,3	    0,032988	84,0
     29,7429	   0,0328582	84,3	   0,0330741	84,6
     29,7468	   0,0340117	83,3	   0,0330985	84,3
     29,7507	    0,033813	82,6	    0,032758	84,4
     29,7546	   0,0330237	84,4	   0,0331595	84,4
     29,7586	   0,0335137	84,2	   0,0336814	83,0
     29,7625	    0,033805	84,2	   0,0333218	84,4
     29,7664	   0,0338695	83,7	   0,0331557	84,5
     29,7703	   0,0340128	83,3	   0,0331702	84,4
     29,7742	   0,0332009	84,1	   0,0332779	84,6
     29,7781	   0,0331457	83,7	   0,0345918	84,2
      29,782	   0,0337629	84,2	   0,0344659	84,4
     29,7859	   0,0339258	84,3	   0,0334754	85,1
     29,7898	   0,0335154	84,5	   0,0334274	84,4
     29,7937	   0,0337167	83,9	   0,0343985	83,3
     29,7977	   0,0344084	83,8	   0,0341031	84,8
     29,8016	   0,0346043	84,8	   0,0348034	84,5
     29,8055	   0,0348947	83,8	   0,0340312	84,4
     29,8094	   0,0344021	84,0	   0,0338334	84,8
     29,8133	    0,034158	84,1	   0,0345282	84,7
     29,8172	   0,0341085	85,4	    0,034785	85,0
     29,8211	   0,0343852	84,6	     0,03479	84,8
      29,825	   0,0349262	84,4	   0,0345349	84,5
     29,8289	   0,0351656	84,2	   0,0341573	85,8
     29,8328	   0,0346802	83,3	   0,0348977	84,8
     29,8368	   0,0344709	85,0	   0,0350451	84,1
     29,8407	   0,0346852	85,0	   0,0350189	85,5
     29,8446	   0,0349308	85,1	   0,0359004	84,5
     29,8485	   0,0357737	84,1	     0,03524	85,0
     29,8524	   0,0353325	85,1	   0,0349499	85,2
     29,8563	   0,0350888	84,7	    0,035042	85,5
     29,8602	   0,0350802	84,3	   0,0355531	85,2
     29,8641	   0,0351571	85,4	   0,0363137	84,7
      29,868	   0,0351885	85,1	   0,0357535	85,5
     29,8719	   0,0352182	84,5	   0,0355522	85,9
     29,8759	   0,0357503	84,6	   0,0353595	85,9
     29,8798	   0,0355209	84,7	   0,0351985	85,4
     29,8837	   0,0354229	85,3	   0,0369437	84,3
     29,8876	   0,0357355	85,2	   0,0371311	85,5
     29,8915	    0,036129	85,1	    0,036399	86,0
     29,8954	   0,0364143	85,5	   0,0362161	86,0
     29,8993	   0,0361646	85,4	   0,0357045	86,1
     29,9032	   0,0357332	85,4	   0,0362366	86,2
     29,9071	   0,0359294	85,3	   0,0367571	84,6
      29,911	   0,0363024	86,1	   0,0370918	84,9
      29,915	   0,0369926	85,3	   0,0371066	86,2
     29,9189	   0,0372519	85,6	   0,0361511	85,9
     29,9228	   0,0360584	85,3	   0,0357695	85,8
     29,9267	   0,0358403	85,2	   0,0369575	85,1
     29,9306	   0,0364136	85,8	   0,0371701	86,7
     29,9345	   0,0367228	86,0	   0,0380732	86,2
     29,9384	   0,0374184	85,7	   0,0380471	85,5
